destination_country,destination_partner,gsv,net_recv_fees,recv_payout_suc,recv_payout_rev,txn_count,success_count,reversed_count,gp,reversal_per_txn,adjusted_rev_payout,adjusted_txn_count,cost_per_txn,adjusted_gross_profit,profitability_per_txn
United Kingdom,#####,736073100.2,277798.1872,277298.3462,-499.841014,1102871,1101869,1002,425322.7003,0.001,277298.346,1100867,0.252,424507.613,0.386
United Kingdom,#####,84672168.31,15535.60303,15498.49303,-37.11,75461,75366,95,215708.2653,0.001,15498.493,75271,0.206,215421.725,2.862
United Kingdom,#####,24.033,30.072,30.072,0,20,20,0,-27.985,0,30.072,20,1.504,-27.985,-1.399
United States of America,#####,230487.2536,566.77963,471.01655,-95.76308,103,95,8,32.318983,0.078,471.017,87,5.414,13.509,0.155
United States of America,#####,346787.4151,199.92,178.5,-21.42,392,371,21,433.427323,0.054,178.5,350,0.51,382.535,1.093
United States of America,#####,3301258.412,8464.8,8357.6,-107.2,4103,4077,26,4317.191201,0.006,8357.6,4051,2.063,4220.245,1.042
United States of America,#####,8.922,9.4,9.4,0,32,32,0,-9.396,0,9.4,32,0.294,-9.396,-0.294
United States of America,#####,1599028.927,625.5,583.5,-42,1256,1214,42,2006.206,0.033,583.5,1172,0.498,1900.206,1.621
Uruguay,#####,14.496101,27.05,27.05,0,30,30,0,-26.984706,0,27.05,30,0.902,-26.985,-0.899
Uruguay,#####,9.231507,15,15,0,15,15,0,-12.413225,0,15,15,1,-12.413,-0.828
Uzbekistan,#####,1.5,1.504,1.504,0,1,1,0,-1.504,0,1.504,1,1.504,-1.504,-1.504
Vanuatu,#####,4.7,4,4,0,2,2,0,-3.944,0,4,2,2,-3.944,-1.972
Viet Nam,#####,1289670734,231298.474,231278.8179,-19.656126,1824526,1824452,74,4463922.261,0,231278.818,1824378,0.127,4463552.901,2.447
Viet Nam,#####,7.229,13.723,13.723,0,16,16,0,-13.772,0,13.723,16,0.858,-13.772,-0.861
Viet Nam,#####,4.025,4.512,4.512,0,3,3,0,-3.473,0,4.512,3,1.504,-3.473,-1.158
Viet Nam,#####,657187.5166,4647.3,4647.3,0,4135,4135,0,-1455.024492,0,4647.3,4135,1.124,-1455.024,-0.352
Viet Nam,#####,1541004618,1370613.893,1370216.018,-397.875004,2365816,2365512,304,4176422.515,0,1370216.018,2365208,0.579,4174600.885,1.765
Viet Nam,#####,3363.079235,8.8,8.8,0,29,29,0,2.2,0,8.8,29,0.303,2.2,0.076
Viet Nam,#####,3818168.214,2379.823,2379.823,0,19686,19686,0,25544.654,0,2379.823,19686,0.121,25544.654,1.298
Zambia,#####,263404.625,1346,1344,-2,2692,2690,2,3787.568,0.001,1344,2688,0.5,3772.248,1.403
Zambia,#####,1154648.435,3713.742073,3709.101637,-4.640436,8303,8299,4,7048.381877,0,3709.102,8295,0.447,7081.382,0.854
Zambia,#####,289.888,2.343,2.343,0,9,9,0,-0.019,0,2.343,9,0.26,-0.019,-0.002
