destination_country,destination_partner,txn_count,less_15m,less_15m_percentage,greater_15m,greater_15m_percentage
Albania,#####,20,17,85,3,15
Argentina,#####,12,0,0,12,100
Argentina,#####,6,0,0,6,100
Argentina,#####,14,0,0,14,100
Argentina,#####,32,12,37.5,20,62.5
Australia,#####,1,0,0,1,100
Australia,#####,32,7,21.875,25,78.125
Australia,#####,5888,4056,68.886,1832,31.114
Australia,#####,414,227,54.831,187,45.169
Austria,#####,58715,47043,80.121,11672,19.879
Austria,#####,7937,7725,97.329,212,2.671
Azerbaijan,#####,3,3,100,0,0
Azerbaijan,#####,13,0,0,13,100
Bahrain,#####,1,1,100,0,0
Bahrain,#####,58,0,0,58,100
Bangladesh,#####,102047,2041,2,100005,97.999
Bangladesh,#####,131474,6924,5.266,124550,94.734
Bangladesh,#####,2934957,2899331,98.786,35626,1.214
Bangladesh,#####,326610,325675,99.714,935,0.286
Bangladesh,#####,472244,446152,94.475,26092,5.525
Bangladesh,#####,1,0,0,1,100
Bangladesh,#####,248426,246805,99.347,1615,0.65
Bangladesh,#####,338554,159873,47.222,178681,52.778
Bangladesh,#####,80943,26214,32.386,54729,67.614
Bangladesh,#####,9,5,55.556,4,44.444
Bangladesh,#####,66815,647,0.968,66168,99.032
Bangladesh,#####,128738,23345,18.134,105391,81.865
Bangladesh,#####,467989,250447,53.516,217542,46.484
Bangladesh,#####,596309,16687,2.798,579622,97.202
Bangladesh,#####,136,18,13.235,118,86.765
Bangladesh,#####,32967,32924,99.87,43,0.13
Bangladesh,#####,147181,1288,0.875,145892,99.124
Bangladesh,#####,1357,27,1.99,1330,98.01
Bangladesh,#####,4759,24,0.504,4735,99.496
Bangladesh,#####,12,8,66.667,4,33.333
Bangladesh,#####,1130,36,3.186,1094,96.814
Bangladesh,#####,67684,1902,2.81,65782,97.19
Bangladesh,#####,7044,141,2.002,6903,97.998
Bangladesh,#####,1464,25,1.708,1439,98.292
Bangladesh,#####,786354,13630,1.733,772724,98.267
Bangladesh,#####,4098,3868,94.388,230,5.612
Belgium,#####,16,5,31.25,11,68.75
Belgium,#####,460325,404171,87.801,56153,12.199
Belgium,#####,97152,95413,98.21,1739,1.79
Benin,#####,18,7,38.889,11,61.111
Benin,#####,902269,891687,98.827,10582,1.173
Benin,#####,2788,2736,98.135,52,1.865
Benin,#####,731905,727917,99.455,3988,0.545
Benin,#####,11954,11926,99.766,28,0.234
Bolivia (Plurinational State of),#####,14,0,0,14,100
Bolivia (Plurinational State of),#####,143,0,0,143,100
Bolivia (Plurinational State of),#####,11,0,0,11,100
Botswana,#####,148,75,50.676,73,49.324
Brazil,#####,172,9,5.233,163,94.767
Brazil,#####,8,0,0,8,100
Brazil,#####,2,0,0,2,100
Brazil,#####,17,0,0,17,100
Brazil,#####,281631,257990,91.606,23638,8.393
Brazil,#####,1727,1715,99.305,12,0.695
Brazil,#####,8,1,12.5,7,87.5
Brazil,#####,30,0,0,30,100
Brunei Darussalam,#####,36,0,0,36,100
Bulgaria,#####,1,0,0,1,100
Bulgaria,#####,6531,5567,85.24,964,14.76
Bulgaria,#####,1891,872,46.113,1019,53.887
Bulgaria,#####,5,0,0,5,100
Burkina Faso,#####,65,27,41.538,38,58.462
Burkina Faso,#####,11,9,81.818,2,18.182
Burkina Faso,#####,298,293,98.322,5,1.678
Burkina Faso,#####,5223,3336,63.871,1887,36.129
Burkina Faso,#####,39911,39401,98.722,510,1.278
Burkina Faso,#####,2463,2460,99.878,3,0.122
Burundi,#####,5988,5916,98.798,72,1.202
C̫te d'Ivoire,#####,362890,316362,87.178,46506,12.815
C̫te d'Ivoire,#####,8691,8604,98.999,87,1.001
C̫te d'Ivoire,#####,409936,350313,85.456,59623,14.544
C̫te d'Ivoire,#####,43,20,46.512,23,53.488
C̫te d'Ivoire,#####,212801,190827,89.674,10029,4.713
C̫te d'Ivoire,#####,216320,165470,76.493,50850,23.507
C̫te d'Ivoire,#####,119375,118852,99.562,523,0.438
C̫te d'Ivoire,#####,2,2,100,0,0
C̫te d'Ivoire,#####,40,40,100,0,0
C̫te d'Ivoire,#####,40290,33581,83.348,6709,16.652
Cambodia,#####,2274,2152,94.635,122,5.365
Cambodia,#####,45,44,97.778,1,2.222
Cameroon,#####,2004772,1993741,99.45,11027,0.55
Cameroon,#####,585585,577980,98.701,7605,1.299
Cameroon,#####,334043,327156,97.938,6887,2.062
Cameroon,#####,128762,101064,78.489,27698,21.511
Cameroon,#####,2956,2951,99.831,5,0.169
Canada,#####,2562,2,0.078,2560,99.922
Canada,#####,1285,0,0,1285,100
Central African Republic,#####,30,3,10,27,90
Chad,#####,56,56,100,0,0
Chile,#####,4,0,0,4,100
Chile,#####,2,0,0,2,100
Chile,#####,16,0,0,16,100
Chile,#####,10,3,30,7,70
China,#####,53723,47704,88.796,6019,11.204
China,#####,279,88,31.541,191,68.459
China,#####,11,10,90.909,1,9.091
China,#####,1,0,0,1,100
Colombia,#####,39,27,69.231,12,30.769
Colombia,#####,15151,15074,99.492,77,0.508
Colombia,#####,79,0,0,79,100
Colombia,#####,3,0,0,3,100
Colombia,#####,172,0,0,172,100
Colombia,#####,2897,1479,51.053,1418,48.947
Colombia,#####,25945,18584,71.628,7361,28.372
Colombia,#####,2,2,100,0,0
Comoros,#####,40,32,80,8,20
Congo,#####,74,73,98.649,1,1.351
Congo,#####,2,2,100,0,0
Congo,#####,63,54,85.714,9,14.286
"Congo, Democratic Republic of the",#####,364283,362868,99.612,1415,0.388
"Congo, Democratic Republic of the",#####,51483,51316,99.676,167,0.324
"Congo, Democratic Republic of the",#####,24,23,95.833,1,4.167
"Congo, Democratic Republic of the",#####,60960,60636,99.469,324,0.531
"Congo, Democratic Republic of the",#####,2999,2982,99.433,17,0.567
Costa Rica,#####,21,13,61.905,8,38.095
Costa Rica,#####,12,1,8.333,11,91.667
Croatia,#####,81,66,81.481,15,18.519
Croatia,#####,444,322,72.523,122,27.477
Cyprus,#####,6,4,66.667,2,33.333
Cyprus,#####,1102,925,83.938,177,16.062
Cyprus,#####,244,95,38.934,149,61.066
Czechia,#####,1,1,100,0,0
Czechia,#####,376,323,85.904,53,14.096
Czechia,#####,977,228,23.337,749,76.663
Denmark,#####,67,38,56.716,29,43.284
Denmark,#####,219,40,18.265,179,81.735
Dominican Republic,#####,30,0,0,30,100
Ecuador,#####,27,7,25.926,20,74.074
Ecuador,#####,11,11,100,0,0
Ecuador,#####,27,0,0,27,100
Ecuador,#####,1,0,0,1,100
Ecuador,#####,15,0,0,15,100
Egypt,#####,3,3,100,0,0
Egypt,#####,315100,4037,1.281,311063,98.719
Egypt,#####,2,0,0,2,100
El Salvador,#####,13,0,0,13,100
El Salvador,#####,19,6,31.579,13,68.421
Equatorial Guinea,#####,18,8,44.444,10,55.556
Estonia,#####,2,0,0,2,100
Estonia,#####,10433,9115,87.367,1318,12.633
Estonia,#####,726,705,97.107,21,2.893
Ethiopia,#####,64,53,82.813,11,17.188
Ethiopia,#####,12771,252,1.973,12519,98.027
Ethiopia,#####,14,13,92.857,1,7.143
Ethiopia,#####,72,57,79.167,15,20.833
Ethiopia,#####,7,7,100,0,0
Fiji,#####,2,2,100,0,0
Finland,#####,2,1,50,1,50
Finland,#####,21815,15028,68.888,6787,31.112
Finland,#####,2218,2169,97.791,49,2.209
France,#####,13,4,30.769,9,69.231
France,#####,928871,758665,81.676,170205,18.324
France,#####,142819,140085,98.086,2734,1.914
France,#####,1,0,0,1,100
French Guiana,#####,41,41,100,0,0
Gabon,#####,2,1,50,1,50
Gabon,#####,225612,224020,99.294,1592,0.706
Gambia,#####,6,0,0,6,100
Gambia,#####,12911,6922,53.613,5989,46.387
Gambia,#####,5183,5178,99.904,5,0.096
Georgia,#####,29,1,3.448,28,96.552
Georgia,#####,5,4,80,1,20
Georgia,#####,12,2,16.667,10,83.333
Germany,#####,16,4,25,12,75
Germany,#####,425961,346527,81.352,79433,18.648
Germany,#####,89174,86303,96.78,2871,3.22
Ghana,#####,26625,26443,99.316,182,0.684
Ghana,#####,263875,245000,92.847,18875,7.153
Ghana,#####,5011,4869,97.166,142,2.834
Ghana,#####,40,28,70,12,30
Ghana,#####,33,27,81.818,6,18.182
Ghana,#####,2552908,2548279,99.819,4606,0.18
