destination_country,destination_partner,profitability_per_txn,cost_per_txn,reversal_per_txn,success_percentage,failure_percentage,less_15m,greater_15m,Total_Rank,Average_Rank
Madagascar,#####,0,0,0,50,50,3,1,8,2.67
Malawi,#####,29.306508,1.162,0,93.094,6.906,4854,619,5,1.67
Malawi,#####,7.257096,1.052772,0.002,92.705,7.295,45412,509,7,2.33
Malawi,#####,-0.795564,1.159676,0,97.239,2.761,482,11,9,3
Malawi,#####,10.12242,1.187564,0,89.747,10.253,1823,24,9,3
Malaysia,#####,-0.504504,1.82434,0,98.315,1.685,163998,68220,5,1.67
Malaysia,#####,3.521826,0.144088,0,98.268,1.732,94409,12283,6,2
Malaysia,#####,-0.527142,1.89406,0.006,99.571,0.429,10842,230072,8,2.67
Malaysia,#####,-0.976668,0.446208,0,95.484,4.516,24569,10002,11,3.67
Malaysia,#####,-3.728802,3.495296,0,50,50,3,0,15,5
Mali,#####,7.040418,1.064392,0.002,98.446,1.554,389658,11535,6,2
Mali,#####,5.70801,1.282848,0,96.453,3.547,412234,44975,8,2.67
Mali,#####,-1.513512,2.693516,0.001,97.974,2.026,1057304,1505,11,3.67
Mali,#####,2.63571,1.3363,0,96.19,3.81,177732,14963,12,4
Mali,#####,-0.006468,0.01162,0,100,0,8,0,13,4.33
Mali,#####,1.397088,1.5106,0,78.516,21.484,976,414,15,5
Mali,#####,-2.140908,1.694196,0,71.875,28.125,19,4,21,7
Mali,#####,-1.377684,1.031856,0,69.231,30.769,8,1,22,7.33
Malta,#####,2.984982,0.274232,0.009,98.174,1.826,466,88,5,1.67
Malta,#####,4.207434,0.253316,0.032,94.019,5.981,294,99,6,2
Malta,#####,5.549544,0.89474,0,80,20,1,3,7,2.33
Mauritania,#####,-0.038808,0.181272,0,84.615,15.385,32,1,3,1
Mexico,#####,31.476522,0.6972,0,88.406,11.594,25,36,4,1.33
Mexico,#####,11.341638,1.822016,0.001,66.322,33.678,70,527,8,2.67
Mexico,#####,-0.620928,2.751616,0,70,30,0,97,10,3.33
Mexico,#####,-2.082696,1.8592,0,66.364,33.636,23,50,11,3.67
Mexico,#####,-4.77015,1.162,0,82.544,17.456,0,279,12,4
Monaco,#####,28.882854,0.253316,0,84.211,15.789,20,12,4,1.33
Monaco,#####,7.444668,0.20916,0,100,0,11,3,5,1.67
Mongolia,#####,9.967188,3.827628,0,97.88,2.12,39256,2719,3,1
Morocco,#####,18.56316,3.109512,0.002,87.698,12.302,305,1299,3,1
Mozambique,#####,0.944328,2.324,0,99.56,0.44,590132,205,4,1.33
Mozambique,#####,0.688842,2.409988,0,97.362,2.638,1168783,12802,5,1.67
Mozambique,#####,-1.617,1.162,0,50,50,6,1,9,3
Myanmar,#####,-3.46038,2.344916,0,100,0,0,23,4,1.33
Myanmar,#####,-9.142518,8.1921,0,11.299,88.701,0,20,5,1.67
Nepal,#####,3.091704,0.246344,0,99.254,0.746,20367,4190,8,2.67
Nepal,#####,5.620692,0,0,98.919,1.081,6571,385,9,3
Nepal,#####,1.765764,0.938896,0,99.291,0.709,24573,1205,10,3.33
Nepal,#####,3.463614,0.002324,0,98.186,1.814,14584,846,11,3.67
Nepal,#####,6.073452,1.3944,0,93.676,6.324,2289,2392,14,4.67
Nepal,#####,2.900898,0,0,98.769,1.231,2188,380,16,5.33
Nepal,#####,1.807806,0.799456,0,94.988,5.012,5304,2107,18,6
Nepal,#####,2.57103,0.22078,0,87.156,12.844,76,19,22,7.33
Netherlands,#####,0.769692,0.262612,0.001,99.393,0.607,125425,19519,5,1.67
Netherlands,#####,1.629936,0.250992,0.002,98.377,1.623,28588,685,6,2
Netherlands,#####,2.891196,1.08066,0.115,65.714,34.286,6,17,9,3
